soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
"Sıklıkla posttravmatik stres bozukluğu, somatizasyon bozuklukları, depresyon ve psikoaktif madde kullanımında; hislerini ve duygudurumunu tariflemekte zorlanma veya tarifleyememe, duygusal içsel yaşantılarının farkında olamama şeklinde kendini gösteren en olası klinik durum aşağıdakilerden hangisidir?",A,,Aleksitimi,Anhedoni,Apati,Afazi,Apraksi,36.0,,
"Altmış beş yaşındaki kadın hasta sağ kasığından başlayıp bacağın ön yüzüne ve dize kadar yayılan, istirahatle azalıp üzerine basmakla ve yürümekle artan ağrı şikâyetiyle başvuruyor. Hasta ayrıca 15 dakika kadar süren istirahat tutukluğundan, oturduğu yerden kalkarken ve sağ tarafta çorabını giyerken güçlük yaşadığından yakınıyor. Öyküsünde ilaç kullanımı veya travma bulunmuyor. Antaljik yürümesi olan hastanın fizik muayenesinde sağ kalçasının fleksiyonu ve iç rotasyonu ağrılı saptanıyor. Sağda düz bacak germe testi negatif tespit ediliyor, nörolojik muayenesi normal olarak değerlendiriliyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",C,,Trokanterik bursit,Lomber stenoz,Kalça osteoartriti,Meralgia parestetika,Lomber disk hernisi,37.0,,
"Afet bölgesinde, ciddi yaralanması veya hastalığı olan, yardım almadan hareket edemeyen ancak acil cerrahi girişimin ya da tıbbi bakımın iki saate kadar geciktirilebilir olduğu grubun triyajda hangi gruba koyulması uygundur?",B,,T1 (Renk kodu: Kırmızı),T2 (Renk kodu: Sarı),T3 (Renk kodu: Yeşil),T4 (Renk kodu: Siyah),T5 (Renk kodu: Mavi),38.0,,
"Sigara kullanım öyküsü olan 24 yaşındaki astenik yapılı erkek hasta, son 6 saat içinde gelişen batıcı karakterde tek taraflı plöritik göğüs ağrısı ve nefes darlığı şikâyetleri ile acil servise getiriliyor. Kan basıncı normal olan hastanın nabzı 96/dakika, solunum sayısı 25/dakika, vücut sıcaklığı 36,7 ºC ve oksijen satürasyonu (oda havasında) %92 olarak tespit ediliyor. Fizik muayenesinde sağ hemitoraksta hiperrezonans ve azalmış solunum sesleri saptanıyor.

Bu hasta için en olası ön tanı aşağıdakilerden hangisidir?",C,,Plörezi,Pulmoner tromboemboli,Spontan pnömotoraks,Aort diseksiyonu,Pnömoni,39.0,,
"Bilinen hastalığı olmayan 25 yaşındaki kadın hasta, bel ağrısı yakınması ile acil servise başvuruyor. Fizik muayenesinde, paravertebral lomber bölgede hareketle artan hassasiyet tespit ediliyor. Vital bulguları normal olan hastaya intramusküler ağrı kesici yapılıyor. Enjeksiyonun çok ağrılı olduğunu söyleyen hasta birkaç dakika içinde bulantı ve baş dönmesini takiben kendini kaybederek oturduğu yere yığılıyor. Hastanın yeniden alınan vital bulgularının normal olduğu ve ortostatik hipotansiyon olmadığı tespit ediliyor. Elektrokardiyografide patolojik bir bulgu saptanmıyor. Nörolojik muayenesi ve yatak başı kan şekeri normal değerlendirilen hasta, 25-30 saniye içinde kendine geliyor.

Bu hastanın acil servis yönetimi için aşağıdakilerden hangisi en uygundur?",A,,İzlem sonrası taburcu edilir.,Bilgisayarlı beyin tomografisi çekilir.,Ekokardiyografi yapılır.,Koroner yoğun bakıma yatışı planlanır.,Nöroloji yoğun bakıma yatışı planlanır.,40.0,,
"Aşağıdaki klinik durumlardan hangisinde, tiroid fonksiyonları ile uyumsuz olarak tiroid bezindeki radyoaktif iyot tutulumunda azalma beklenmez?",B,,Antitiroid ilaç tedavisi sırasında,Graves hastalığı,Subakut tiroidit,İyotlu kontrast madde uygulaması sonrasında,Sekonder hipotiroidi,41.0,,
Aşağıdaki bulgulardan hangisinin hiperparatiroidizmde görülmesi en az olasıdır?,C,,Kemiklerde diffüz demineralizasyon (osteopenik görünüm),Subperiostal-subkortikal kemik rezorpsiyonları,Kalvaryumda atılmış pamuk görünümü,Brown tümörü (osteoklastoma),Yumuşak doku kalsifikasyonları,42.0,,
Dünya Sağlık Örgütü sınıflamasında ciddi (ağır) bodurluk için yaşa göre boy standart deviasyonu (SD) aşağıdakilerden hangisidir?,B,,<1 SD,<-3 SD,<-2 SD,<-1 SD,<2 SD,43.0,,
Aşağıdakilerden hangisi süt çocukluğu döneminde uygulanabilen aşılar arasında yer almaz?,B,,Konjuge pnömokok aşısı,HPV aşısı,Boğmaca aşısı,Rotavirus aşısı,İnfluenza aşısı,44.0,,
Dikkat eksikliği hiperaktivite bozukluğunun ayırıcı tanısında aşağıdakilerden hangisinin değerlendirilmesi öncelikli değildir?,D,,Tiroid hastalıkları,Antihistaminik ilaç yan etkisi,Anemi,Kalsiyum metabolizması bozuklukları,Kurşun zehirlenmesi,45.0,,
"Emziren bir anne doğum sonrası 3. haftada hâlsizlik ve ateş şikâyetiyle başvuruyor. Fizik muayenede sağ memede kızarıklık, şişlik ve ağrı ile sağ meme başında çatlak olduğu görülüyor.

I. Mastit gelişen memeden emzirilmemesi
II. Annenin bol sıvı alması
III. Bebeğin tedavi bitene kadar mama ile beslenmesi
IV. Anneye analjezik/antiinflamatuvar ilaç verilmesi
V. 24 saatlik takip döneminden sonra ateşi devam ediyorsa antibiyotik tedavisi verilmesi

Bu anne için yukarıdaki yaklaşımlardan hangileri uygundur?",C,,"I, II ve III","II, III ve IV","II, IV ve V","III, IV ve V","I, III ve V",46.0,,
Shigatoksin ilişkili hemolitik üremik sendrom için aşağıdakilerden hangisi doğrudur?,C,,Coombs pozitif hemolitik anemi görülür.,Uzun dönemde olguların çoğunda son dönem böbrek yetmezliği gelişir.,Retikülosit sayısı ve LDH düzeyi artmıştır.,PT ve PTT genellikle uzamıştır.,Olguların çoğunda ADAMTS13 aktivitesi %10'un altındadır.,47.0,,
"Aşağıdakilerden hangisi 46,XY karyotipine sahip bireylerde cinsiyet gelişim bozukluğuna neden olmaz?",B,,5α-redüktaz 2 (SRD5A2) eksikliği,Fetoplasental aromataz (CYP19) eksikliği,3β-hidroksisteroid dehidrogenaz 2 eksikliği,LH reseptör mutasyonu,WT1 (Wilms tümör 1) gen mutasyonu,48.0,,
"Beş aylık erkek bebek kusma, terleme ve çevreye ilgisizlik şikâyetleri ile getiriliyor. Öyküsünden anne sütü yetmediği için son bir aydır ek gıdalara başlandığı, beslenmesine taze meyve suyu ve şeker eklendiği öğreniliyor. Eşlik eden semptomları sorgulandığında ateşinin olmadığı, son 2-3 gündür kusmaya başladığı ifade ediliyor. Muayenesinde karaciğer büyüklüğü olan bebeğin, laboratuvar tetkiklerinde hipoglisemi, karaciğer enzimlerinde artış, idrarda glikozüri, proteinüri ve aminoasidüri saptanıyor.

Bu hastadaki en olası tanı aşağıdakilerden hangisidir?",D,,Galaktokinaz eksikliği,Galaktoz-1-fosfat üridil transferaz eksikliği,Fruktokinaz eksikliği,Aldolaz B eksikliği,Üridin difosfat galaktoz-4-epimeraz eksikliği,49.0,,
"Daha önce sağlık problemi olmayan üç aylık bebek yatağında ölü bulunuyor. Otopsi sonucunda herhangi bir neden saptanmıyor.

Ani bebek ölüm sendromu olduğu düşünülen bu bebekte, aşağıdakilerden hangisi risk faktörlerinden biridir?",A,,Erkek cinsiyet,Supin pozisyonda uyuma,Anne sütü ile beslenme,Sert uyku zemininde yatma,Emzik kullanılması,50.0,,
"Yirmi beş haftalık 700 gram ağırlığında vajinal yolla doğan, respiratuvar distres sendromu nedeni ile sürfaktan uygulanan bebekte postnatal 3. gün kollarda klonik atım şeklinde nöbet gözleniyor. Kraniyal ultrasonografide Volpe evrelemesine göre evre 3 intraventriküler kanama tespit ediliyor. Öyküsünden, doğumdan 3 gün önce antenatal steroid uygulandığı öğreniliyor.

Aşağıdakilerden hangisinin bu bebekteki intraventriküler kanama ile ilişkilendirilmesi en az olasıdır?",D,,Germinal matriksin yapısı,Hipotansiyon,Hipertansiyon,Antenatal steroid uygulaması,Respiratuvar distres sendromu,51.0,,
Resim var.,E,,Atriyal fibrilasyon,Ventriküler taşikardi,Bigeminal ritimli prematüre ventriküler kontraksiyon,Prematüre atriyal kontraksiyon,Supraventriküler taşikardi,52.0,,
"Beş günlük bebek; emmede azalma, uyuklama ve hareket azlığı yakınmaları ile acil servise getiriliyor. Anne baba arasında akrabalık olduğu, bebeğin 3.400 gram ağırlığında doğduğu öğreniliyor. Üçüncü günden itibaren beslenmesinin azaldığı, her beslenme sonrası kustuğu ve bebeğin garip koktuğu belirtiliyor. Vücut ağırlığı 2.900 gram olan bebeğin fizik muayenesinde yenidoğan reflekslerinin alınamadığı ve tonik kasılmalarının olduğu tespit ediliyor. Sepsis belirteçleri negatif, kan gazı ve amonyak düzeyleri normal olan hastanın idrar tahlilinde (+++) ketonüri görülmesi üzerine tarama amaçlı kontrol edilen dinitrofenilhidrazin (DNPH) testi (+++) pozitif olarak sonuçlanıyor.

Bu hastada en olası tanı aşağıdakilerden hangisidir?",E,,Argininosüksinik asidüri,Multipl açil-KoA dehidrogenaz eksikliği,3-hidroksi-3-metilglutaril koenzim A liyaz eksikliği,Nonketotik hiperglisinemi,Akçaağaç şurubu idrar hastalığı,53.0,,
"Daha önce sağlıklı olan sekiz aylık kız bebek, 5 gün önce başlayan burun akıntısı, öksürük, 3 gündür burun çevresinde küçük kabuklu lezyonların oluşması, iştahsızlık, 38,5 °C’ye yükselen ateş ve vücudunda kızarıklık şikâyetleriyle getiriliyor. Fizik muayenede kan basıncı normal olan hastada eritematöz, skarlatiniform döküntü, ciltte soyulmalar dikkat çekiyor. Burun çevresinde impetigo ve ciltte Nikolsky işaretinin pozitif olduğu görülüyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",D,,Stafilokoksik toksik şok sendromu,Kızıl,Streptokoksik toksik şok sendromu,Stafilokoksik haşlanmış deri sendromu,İktiyozis,54.0,,
"Sekiz aylık erkek bebek bir günlük yüksek ateş ve hâlsizlik şikâyeti ile acile getiriliyor. Fizik muayenesinde; vücut sıcaklığı 39,8 °C, nabız 130/dakika, solunum sayısı 30/dakika, orofarenks ve kulak zarları bilateral hiperemik olup oksipital mikrolenfadenopatiler saptanıyor. Diğer muayene bulguları normal olan ve ateşi düşürülünce hâlsizliği düzelen, aktivitesi ve genel durumu iyi olan bebek ateş düşürücü önerilerek eve gönderiliyor. 3 gün sonra ateşinin düştüğü ancak gövdeden başlayıp yüzüne ve ekstremitelerine yayılan soluk pembe, kaşıntılı olmayan makülopapüler döküntülerinin olduğu öğreniliyor.

Bu bulgulara sebep olan en olası etken aşağıdakilerden hangisidir?",B,,Epstein-Barr virus,Human herpes virus 6,Haemophilus influenzae tip B,Sitomegalovirus,Parvovirus B19,55.0,,
"On dört yaşındaki kız hasta yaklaşık bir yıldan beri devam eden sırt ve baş ağrısı şikâyetleriyle getiriliyor. Fizik muayenesinde sağ üst ekstremitede nabız alınamıyor ve kan basıncının yüksek olduğu saptanıyor. Laboratuvar incelemelerinde eritrosit sedimentasyon hızı ve C-reaktif protein yüksek saptanıyor.

Bu hastada en olası tanı aşağıdakilerden hangisidir?",A,,Takayasu arteriti,Poliarteritis nodoza,Granülomatöz polianjiitis,Eozinofilik granülomatöz polianjiitis,Mikroskopik polianjiitis,56.0,,
"Daha önceden sağlıklı olan 6 yaşındaki erkek hasta 3 gündür devam eden öksürük ve yüksek ateş şikâyetiyle polikliniğe getiriliyor. Fizik muayenesinde krepitan ralleri ve akciğer grafisinde pnömoni ile uyumlu bulguları saptanıyor.

Aşağıdaki mikroorganizmalardan hangisinin bu hastada pnömoni etkeni olması en az olasıdır?",C,,Streptococcus pneumoniae,Mycoplasma pneumoniae,Chlamydia trachomatis,İnfluenza virus,Adenovirus,57.0,,
"On beş yaşındaki kız hasta, öğlen yemeğinden sonra beden eğitimi dersinde koşarken başlayan öksürük, nefes darlığı, baş dönmesi, yüzde şişlik-kızarıklık, el ve ayaklarda kaşıntı yakınmalarıyla revire getiriliyor. Fizik muayenesinde endişeli görünümde olan hastada kan basıncı 80/50 mmHg, periorbital ödem ve oskültasyonda hışıltılı solunum (wheezing) saptanıyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",D,,Egzersize bağlı astım,Kolinerjik ürtiker,Pulmoner emboli,Anafilaksi,Vazovagal senkop,58.0,,
Aşağıdaki immün yetmezliklerin hangisinde katalaz pozitif bakterilerin öldürülmesinde yetersizlik görülmesi en olasıdır?,C,,Bruton hastalığı,Kompleman 3 eksikliği,Kronik granülomatöz hastalık,DiGeorge sendromu,Wiskott-Aldrich sendromu,59.0,,
"t(8;14), t(2;8), t(8;22) sitogenetik anomalilerinin üçünün de görülebileceği hastalık aşağıdakilerden hangisidir?",B,,Diffüz büyük B hücreli lenfoma,Burkitt lenfoma,Lenfoblastik lenfoma,Anaplastik büyük hücreli lenfoma,Hodgkin lenfoma,60.0,,
Çocukluk çağında görülen fumarilasetoasetat hidrolaz eksikliği aşağıdaki kanser türlerinin hangisinin ileri yaşlarda görülme olasılığını artırır?,C,,Wilms tümörü,Hodgkin lenfoma,Hepatoselüler karsinom,Retinoblastom,Nöroblastom,61.0,,
"Kırk haftalık, fetal distres nedeniyle acil sezaryan ile doğurtulan bebeğin hipotonik ve iç çekme tarzında düzensiz solunumunun olduğu görülüyor. İlk kalp tepe atımı 20/dakika olan bebeğe uygulanan pozitif basınçlı ventilasyon sonrası kalp tepe atımı >100/dakika oluyor. Entübe şekilde yoğun bakıma alınıyor. Bebeğin kordon kanından alınan kan gazında pH 6,9 saptanıyor.

Aşağıdakilerden hangisi bu bebekte kötü prognoz belirtecidir?",D,,12 saatten az süren oligüri,2 gün sonra düzelen anormal aEEG bulgusu,Apgar skorunun 5. dakikada 7 olması,İlk 12 saatte nöbet gözlenmesi,Nörolojik muayene bulgularının 7. günde normalleşmesi,62.0,,
"Miadında 3.200 gram doğan, ilk muayenesinde sorun olmayan bebek, bir hafta sonra genel durumunda kötüleşme ve nöbet geçirmesi nedeniyle getiriliyor. Öyküsünden emmesinin zayıf olduğu ve günde bir kez kaka yaptığı öğreniliyor. Getirildiğinde 2.700 gram ağırlığında olan dehidrate bebeğin, laboratuvar incelemelerinde sodyum değeri 160 mEq/L olarak saptanıyor.

Bu bebekteki tabloya aşağıdakilerden hangisinin neden olması en olasıdır?",C,,Konjenital adrenal hiperplazi,Pilor stenozu,Yetersiz anne sütü alımı,Uygunsuz ADH salınımı,Renal tübüler asidoz,63.0,,
"Vajinal yolla, 3.500 gram doğan erkek bebeğin postnatal 20. saatinde siyanoz ve takipne fark edilmesi üzerine bakılan transkutanöz O2 satürasyonu %85 ölçülüyor. Fizik muayenede nabız 165/dakika, femoral nabızlar normal palpe ediliyor, S1-S2 normal, üfürüm duyulmuyor. EKG sağ aks ile yenidoğan için normal sınırlarda tespit ediliyor. Telekardiyografisinde kalp gölgesinin yan yatmış yumurta görünümünde ve pulmoner vaskülaritenin normal olduğu saptanıyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",D,,Obstrüktif tip total anormal pulmoner venöz dönüş,Ebstein anomalisi,Fallot tetralojisi,Büyük arterlerin transpozisyonu,Triküspid atrezisi,64.0,,
"Yedi yaşındaki kız hasta, çocuk acil servisine 3 defa bol miktarda taze kırmızı kan içeren kusma şikâyeti ile getiriliyor. Hikâyesinden prematüre doğduğu ve sarılık nedeniyle göbek kateterinden kan değişimi yapıldığı öğreniliyor. Fizik muayenesinde 4 cm orta sertlikte dalak ele geliyor.

Bu hastada kanlı kusmanın en olası nedeni aşağıdakilerden hangisidir?",B,,İnvajinasyon,Özofageal varis,İnflamatuvar bağırsak hastalığı,Meckel divertikülü,Hemanjiyom,65.0,,
"Son 1,5 aydır ishali olan 9 aylık bebekte ishalin bol, sulu, köpüklü olduğu ve beslenmeyi takiben geliştiği öğreniliyor.

Bu tablo için en uygun eşleştirme aşağıdakilerden hangisidir?",C,,Akut ishal – Sekretuvar tip,Kronik ishal – Sekretuvar tip,Kronik ishal – Osmotik tip,Kronik ishal – İnflamatuvar tip,Akut ishal – Osmotik tip,66.0,,
"Gelişme geriliği olan dokuz aylık bebeğin fizik muayenesinde raşitik rozari, el bileğinde genişleme, kan biyokimyasında hipofosfatemi, kan gazında bikarbonat ve pCO2 düşüklüğü, idrar tahlilinde glikozüri ve aminoasidüri saptanıyor.

Bu hastadaki en olası tanı aşağıdakilerden hangisidir?",B,,Nütrisyonel rikets,Fanconi sendromu,Bartter sendromu,Gitelman sendromu,Distal renal tübuler asidoz,67.0,,
"On bir yaşındaki kız hasta parmaklarında yaygın şişlik, sol diz ve ayak bileğinde ağrı yakınmalarıyla getiriliyor. Fizik muayenesinde parmaklarında daktilit, tırnaklarda distrofi ve noktalanma, sol diz ve ayak bileğinde artrit saptanıyor.

Bu hastada aşağıdakilerden hangisinin aile öyküsünde bulunması en olasıdır?",C,,Ailevi Akdeniz ateşi,Ankilozan spondilit,Psöriazis,Akut romatizmal ateş,Juvenil oligoartiküler idiyopatik artrit,68.0,,
"Beş aylık bebek, üç haftadır kol ve bacaklarında fleksiyon şeklinde ani kasılma ve ağlama yakınmaları ile getiriliyor. Perinatal hipoksi öyküsü olduğu öğreniliyor. Kasılmalarının uykuya dalarken ve uyandıktan hemen sonra olduğu belirtiliyor.

Bu bebekte en olası ön tanı aşağıdakilerden hangisidir?",D,,Jitteriness,Neonatal uyku miyoklonusu,İnfantil kolik,İnfantil spazm,İnfantil koreoatetoz,69.0,,
"Üç aylık bebek, ailesi tarafından başını dik tutamama ve gevşeklik nedeniyle getiriliyor. Muayenede dilde fasikülasyonlar, jeneralize hipotoni, kas güçsüzlüğü tespit ediliyor, derin tendon refleksleri alınmıyor.

Bu bebekte en olası tanı aşağıdakilerden hangisidir?",C,,Duchenne musküler distrofi,Becker musküler distrofi,Werdnig-Hoffmann hastalığı,Artrogripozis multipleks konjenita,Transvers miyelit,70.0,,
Antenatal tarama testleriyle rutin olarak taranması önerilen kromozomal anöploidiler aşağıdakilerden hangisinde birlikte verilmiştir?,E,,"11, 12, 13","13, 14, 21","17, 18, 21","18, 19, 21","13, 18, 21",71.0,,
Tourette sendromu ile birlikte görülme olasılığı en az olan bozukluk aşağıdakilerden hangisidir?,E,,Dikkat eksikliği ve hiperaktivite bozukluğu,Yeme bozuklukları,Obsesif kompulsif bozukluk,Depresif bozukluklar,Otizm spektrum bozukluğu,72.0,,
"Ani bayılma nedeniyle acil servise getirilen, bulantı ve kusması olan hastanın muayenesinde reflekslerinin azaldığı tespit ediliyor. Diyalize girdiği öğrenilen hastanın EKG’sinde PR aralığının uzadığı ve QRS kompleksinin genişlediği görülüyor.

Bu hastada görülen bulguların en olası nedeni aşağıdakilerden hangisidir?",E,,Hipokalemi,Hipokalsemi,Hiperkalsemi,Hipernatremi,Hipermagnezemi,73.0,,
"Serviste takip edilmekte olan bir hastanın ani başlayan baş ağrısı ve letarji nedeniyle bakılan kan biyokimya değerlerinde Na+: 119 mEq/L, K+: 4,5 mEq/L ve Ca2+: 8,5 mg/dL olarak tespit ediliyor. Serum ozmolalitesi 260 mOsm/kg ve idrar ozmolalitesi 90 mOsm/kg olan hastanın santral venöz basınç (CVP) değeri normal ölçülüyor. İdrar sodyum miktarı normal bulunuyor. Hastanın birkaç saat önce transüretral prostat rezeksiyonu ameliyatı olduğu öğreniliyor.

Bu hastada görülen bulguların en olası nedeni aşağıdakilerden hangisidir?",D,,Primer renal hastalık,Fazla intravenöz sıvı yüklenmesi,Aşırı kusma,Akut su intoksikasyonu,Postoperatif ADH sekresyonu,74.0,,
Keloid oluşumuyla ilgili aşağıdaki ifadelerden hangisi doğrudur?,E,,Yara boyutları ile sınırlıdır.,Kontraktür gelişimi sıktır.,Tüm ırklarda aynı sıklıkta görülür.,Sıklıkla spontan olarak geriler.,Genetik yatkınlık gösterir.,75.0,,
Ringer laktat solüsyonunun içeriğinde aşağıdakilerden hangisi yer almaz?,A,,Magnezyum,Kalsiyum,Sodyum,Potasyum,Klor,76.0,,
Hipokalemiyle ilgili aşağıdaki ifadelerden hangisi yanlıştır?,C,,EKG’de U dalgası görülebilir.,Digoksin kullananlarda aritmilere neden olabilir.,EKG’de T dalgası sivrileşir.,Hipomagnezeminin neden olduğu hipokalemide önce hipomagnezeminin düzeltilmesi gerekir.,Cerrahi hastalarda hiperkalemiden daha fazla görülür.,77.0,,
"Araç içi trafik kazası nedeniyle acil servise getirilen 30 yaşındaki erkek hastada, sağ üst kadran ağrısı ve hassasiyet saptanıyor. Kontrastlı abdominal bilgisayarlı tomografide sağ 9-11. kotlarda fraktür ve karaciğer segment VIII’de 2 cm genişliğinde subkapsüler hematoma eşlik eden yaklaşık 4 cm uzunluğunda, 1 cm derinliğinde parankimal laserasyon rapor ediliyor. Ek yaralanması olmayan hastanın bilinci açık, hemoglobin değeri 13 g/dL, kan basıncı 115/80 mmHg, nabzı 82/dakika ve solunum sayısı 15/dakika saptanıyor.

Bu hasta için en uygun yaklaşım aşağıdakilerden hangisidir?",A,,Ameliyatsız yoğun bakımda yakın takip,Tanısal laparotomi,Tanısal laparoskopi,Karaciğer segment VIII’e dikiş ile kanama kontrolü ve hematomun boşaltılması,Karaciğer segment VIII’deki laserasyona hemostatik ajanlarla hemostaz,78.0,,
Yanık tedavisinin erken dönemiyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,A,,Hastalar öncelikle soğutulmalıdır.,Tüm hastalara sistemik profilaktik antibiyotik başlanmalıdır.,Tüm kimyasal yanıklarda cilt su ile yıkanmalıdır.,İntravenöz sıvı tedavisi için yanık ekstremitedeki venler de kullanılabilir.,Tüm hastalara immünizasyon durumlarına bakılmaksızın tetanoz aşısı yapılmalıdır.,79.0,,
Karaciğer transplantasyonu endikasyonu olan hastalıklar ile ilgili aşağıdaki ifadelerden hangisi doğrudur,A,,Tüm yaş grupları arasında en sık neden hepatit B’ye bağlı kronik karaciğer hastalığıdır.,Alkole bağlı kronik karaciğer hastalığında iki aylık alkol bırakma süresi transplantasyon yapılabilmesi için yeterlidir.,Transplantasyon gerektiren akut karaciğer yetmezliği nedenleri ülkelere göre belirgin farklar gösterir.,Primer sklerozan kolanjit hastalarının %10’unda kronik karaciğer hastalığına ülseratif kolit de eşlik eder.,Nonalkolik steatohepatit özellikle Sahra altı Afrika’da sık görülen bir karaciğer transplantasyon endikasyonudur.,80.0,,
"Mamografi sonucunun ""BIRADS 0"" olarak raporlanması aşağıdakilerden hangisini ifade eder?",D,,"Negatif, yıllık tarama önerilir.","Benign bulgular, yıllık tarama önerilir.","Muhtemelen benign bulgular, sık aralıklarla takip önerilir.","Yetersiz değerlendirme, ek görüntüleme ile inceleme gereklidir.","Biyopsi ile malign tanısı konulan hasta, tedavi planlanmalıdır.",81.0,,
Aşağıdaki meme patolojilerinin hangisinde invaziv kanser gelişme riski diğerlerinden daha düşüktür?,A,,İntraduktal papillom,Flat (düz) epitelyal atipi,Florid hiperplazi,Atipik lobüler hiperplazi,Atipik duktal hiperplazi,82.0,,
Aşağıdaki gen mutasyonlarından hangisinin multipl endokrin neoplazi (MEN) sendromlarında görülen tiroid kanserleriyle ilişkili olması en olasıdır?,B,,PTEN,RET,PRKAR1α,GNAS1,WRN,83.0,,
"Elli yaşındaki erkek hasta, boyun ön bölgesinde ele gelen kitle nedeniyle başvuruyor. Muayenede, tiroid lojunda yutkunmakla hareketli, yumuşak, düzgün kenarlı kitle saptanıyor. Özgeçmiş ve soygeçmişinde özellik olmayan hastanın boyun ultrasonografisinde; tiroid sağ lobunda 2 cm boyutlarında, homojen, düzgün kenarlı, periferik halosu olan nodül saptanıyor, diğer lob normal olarak değerlendiriliyor. Maligniteyi düşündürecek özellikte lenf nodu görülmüyor. İnce iğne aspirasyon biyopsisi ""foliküler neoplazm"" olarak raporlanıyor.

Bu hasta için bundan sonraki aşamada en uygun yaklaşım aşağıdakilerden hangisidir?",E,,Üç ay sonra ultrasonografi tekrarı,Radyoaktif iyot tedavisi,Üç ay sonra ince iğne aspirasyon biyopsisi tekrarı,Levotiroksin ile supresyon,Sağ tiroid lobektomi,84.0,,
"Nonsteroidal antiinflamatuvar ilaç veya asetilsalisilik asit kullanan hastalarda, aşağıdaki durumların hangisinde kanama ve ülser riski en düşüktür?",E,,Hastanın 60 yaşın üzerinde olması,Hastada peptik ülser öyküsü olması,Birlikte steroid alımı,Birlikte antikoagülan ilaç alımı,Birlikte statin grubu ilaç kullanılması,85.0,,
Meckel divertikülü ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,D,,Gerçek divertiküldür.,İntestinal obstrüksiyon ile bulgu verebilir.,Heterotopik gastrik ve pankreatik doku içerebilir.,İnguinal herni kesesi içinde görüldüğünde Amyand herni adını alır.,Meckel divertikülüne bağlı kanama gençlerde daha sık görülür.,86.0,,
"Makattan kanama şikâyetiyle acil servise gelen 68 yaşındaki erkek hastanın kolonoskopisinde kanama odağı tespit edilemiyor. Nazogastrik sondada normal mide içeriği görülüyor. Hastaya 4 ünite eritrosit süspansiyonu verilmesine rağmen hemoglobin değeri yükselmiyor. Hipotansiyonu ve taşikardisi olan hastanın öyküsünden 5 yıl önce abdominal anevrizma ameliyatı olduğu öğreniliyor.

Hastadaki kanamanın en olası nedeni aşağıdakilerden hangisidir?",B,,Divertikülozis,Aortoenterik fistül,Anjiyodisplazi,Dieulafoy lezyonu,Mezenter iskemi,87.0,,
"İleoçekal valvin görevini tam olarak yapabildiği durumlarda, distal rektumda tıkayıcı bir lezyon varlığında kolonda perforasyon riski en yüksek yer neresidir?",A,,Çekum,Hepatik fleksura,Splenik fleksura,Sigmoid kolon,Rektosigmoid bileşke,88.0,,
"Lateral yerleşimli anal fissür varlığında, aşağıdakilerden hangisinin altta yatan hastalık olma olasılığı en azdır?",B,,HIV/AIDS,Diabetes mellitus,Tüberküloz,Lösemi,Sifiliz,89.0,,
İnguinal bölge ve hastalıkları ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,A,,"Hesselbach üçgenini inguinal ligaman, rektus kılıfının lateral kenarı ve inferior epigastrik damarlar oluşturur.","Femoral halkayı inguinal ligaman, Cooper ligamanı, lakunar ligaman ve femoral arter oluşturur.",Hesselbach üçgeni içinde gelişen fıtıklar indirekt fıtıklardır.,İnguinal kanalın arka duvarını (tabanını) eksternal oblik aponevrozu oluşturur.,Kasık fıtıklarının sınıflandırılmasında Poupart sınıflandırması kullanılır.,90.0,,
Aşağıdakilerden hangisi portal hipertansiyonda gelişen portosistemik kollateral yollardan biri değildir?,D,,Paraumblikal venler,Koroner ven,Sappey venleri,Riolan arkı,Retzius venleri,91.0,,
Karaciğerin benign solid lezyonlarıyla ilgili aşağıdaki ifadelerden hangisi yanlıştır?,E,,En sık görülen benign solid lezyonu hemanjiyomdur.,Adenomlarında görülebilecek en önemli risklerden biri spontan rüptürdür.,Fokal nodüler hiperplazi ikinci en sık görülen benign solid lezyondur.,Görüntüleme yöntemleri ile tipik santral skar görülen asemptomatik fokal nodüler hiperplazilerde cerrahi endikasyon yoktur.,Adenomlarda tek cerrahi endikasyon rüptür riskidir.,92.0,,
Reynold pentadında aşağıdakilerden hangisi bulunmaz?,C,,Sarılık,Sağ üst kadranda ağrı,Semptomatik hipoglisemi,Mental durumda bozulma,Septik şok,93.0,,
Aşağıdakilerden hangisi akut pankreatitin ciddiyetini değerlendiren BISAP (akut pankreatitin ciddiyeti için yatak başı indeks) skorunun hesaplanmasında kullanılmaz?,C,,Sistemik inflamatuvar yanıt sendromu varlığı,Kan üre azotu değerinin 25 mg/dL’nin üzerinde olması,C-reaktif protein değerinin 150 mg/mL’nin üzerinde olması,Plevral efüzyon varlığı,Yaşın 60’ın üzerinde olması,94.0,,
